label,black_pixels,regions
joy,2280,2
joy,2046,2
ash,2287,1
spear,4503,3
gift,2950,1
oak,2545,1
sun,4034,1
need,2059,1
need,1675,1
spear,3336,3
elk-sedge,2186,1
sun,1713,1
elk-sedge,4042,1
need,2741,2
spear,4374,3
bow,3849,2
ash,2166,1
elk-sedge,1696,1
serpent,2941,2
need,2338,1
elk-sedge,3544,1
elk-sedge,16384,0
bow,3482,2
sun,2489,1
bow,3498,2
spear,3626,3
bow,3458,2
oak,2634,1
joy,2349,2
serpent,3725,1
joy,2489,2
need,1138,1
bow,3381,2
bow,4732,2
joy,1689,2
spear,8010,6
elk-sedge,1945,1
ash,1998,1
oak,2991,1
serpent,1849,1
tyr,2783,1
gift,2363,1
ash,2158,1
bow,3741,2
sun,1207,1
bow,5310,2
bow,3227,2
ash,2487,1
bow,3675,2
gift,2191,1
tyr,1784,1
ash,2961,1
tyr,1731,1
spear,4607,3
bow,4041,2
ash,3078,1
sun,1935,1
elk-sedge,2355,1
ash,2205,1
bow,3945,2
serpent,5476,1
tyr,2584,2
wealth,1606,1
joy,2473,2
joy,2177,3
need,2304,1
elk-sedge,1980,1
bow,4647,2
spear,3738,3
elk-sedge,2892,1
elk-sedge,3277,1
ash,1785,1
tyr,1188,1
elk-sedge,3455,1
need,1780,1
spear,4649,3
elk-sedge,2560,1
spear,7038,5
need,2063,1
wealth,3595,1
serpent,2873,1
joy,2235,2
oak,2387,1
gift,3190,1
need,3096,2
ash,2551,1
wealth,1374,1
need,4308,1
bow,3831,2
elk-sedge,16384,0
spear,2844,3
gift,2431,1
ash,2167,1
sun,2786,1
need,2113,1
serpent,1657,1
elk-sedge,4229,1
oak,2527,1
wealth,2538,1
sun,2148,1
oak,2932,1
spear,4414,4
spear,3650,3
elk-sedge,2622,1
spear,4324,3
need,1756,1
joy,2670,3
joy,2564,2
oak,2236,1
elk-sedge,3130,1
ash,2332,1
oak,2877,1
elk-sedge,2393,1
serpent,3122,2
spear,4572,6
serpent,2249,1
gift,4096,1
sun,1079,1
gift,2411,1
oak,2296,1
oak,3109,1
elk-sedge,4017,1
oak,1765,1
ash,2508,1
elk-sedge,3121,1
need,2548,1
joy,2456,2
need,3934,2
bow,4719,5
wealth,2971,3
joy,2133,2
need,1770,1
oak,2768,1
tyr,2592,1
serpent,2299,1
ash,1642,1
elk-sedge,3167,1
tyr,2309,1
serpent,3023,1
wealth,2964,1
ash,2531,1
sun,1779,1
bow,4148,2
sun,2243,1
tyr,2508,1
joy,2550,2
tyr,2371,1
need,1926,1
need,1550,1
elk-sedge,3409,1
serpent,2694,1
ash,2530,1
sun,1896,1
ash,2369,1
serpent,3068,1
ash,2026,1
sun,2319,1
elk-sedge,2822,1
need,16384,0
serpent,2041,2
bow,4676,5
bow,4684,2
spear,4690,3
serpent,2594,1
bow,2358,2
elk-sedge,2365,1
spear,7115,3
joy,2165,2
wealth,2548,1
spear,4682,3
need,1262,1
sun,1867,1
gift,2177,1
wealth,2215,1
oak,2353,1
wealth,2821,1
tyr,2752,1
tyr,1960,1
gift,3730,1
need,2090,1
sun,2325,1
gift,1939,1
joy,2253,3
spear,4510,5
tyr,3800,1
elk-sedge,1655,1
wealth,1577,1
elk-sedge,2036,1
sun,2578,1
wealth,1992,1
joy,2422,2
sun,2787,1
tyr,1870,1
need,3303,1
gift,2981,1
need,1968,1
sun,3010,1
ash,2373,1
ash,2442,1
tyr,2299,1
serpent,3351,1
joy,2928,2
wealth,2773,1
serpent,5439,1
bow,3368,2
tyr,2339,1
gift,3493,1
spear,8609,6
spear,3564,3
ash,2178,1
elk-sedge,2462,1
ash,2095,1
ash,2209,1
sun,2308,1
serpent,3360,1
elk-sedge,1085,1
need,1136,1
need,1914,1
ash,1271,1
need,2073,1
joy,1881,2
tyr,2590,1
oak,2291,1
serpent,1605,1
bow,3196,2
joy,3132,2
oak,2018,1
bow,3468,2
tyr,2445,1
bow,4533,5
wealth,2209,1
spear,4238,4
tyr,2615,1
spear,3888,3
tyr,2641,2
ash,1957,1
gift,4415,2
sun,2121,1
bow,3096,2
spear,3595,3
ash,2374,1
oak,2808,1
ash,2559,1
bow,4519,2
need,2018,1
need,1145,1
serpent,2804,1
wealth,2250,1
bow,4465,2
elk-sedge,2200,1
spear,4237,3
bow,3430,2
joy,2578,3
wealth,2780,1
elk-sedge,2120,1
bow,4494,5
gift,2293,1
need,1684,1
sun,2056,1
tyr,2422,1
gift,4114,1
wealth,2321,2
oak,1602,1
tyr,1276,1
elk-sedge,4159,2
sun,2059,1
ash,2543,1
need,2083,1
elk-sedge,2643,1
spear,16384,0
gift,4481,2
