label,area,area_filled,area_convex,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max,perimeter,solidity,holes,h_sym_err_percent,v_sym_err_percent,pixelsum_tl,pixelsum_tm,pixelsum_tr,pixelsum_ml,pixelsum_mm,pixelsum_mr,pixelsum_bl,pixelsum_bm,pixelsum_br
joy,6709.0,7504.0,10025.0,138.03094271894958,108.13616893204265,0.6214929358083682,92.42382866787226,0.4363293444328824,142.00352108310554,611.2792206135786,0.6692269326683292,1,0.2927939646201873,0.6005463059313215,0,0,24,78,78,78,33,33,33
joy,6157.0,6465.0,9460.0,152.5300290723214,89.26240130454369,0.8108803431651987,88.54002415255147,0.4004292403746098,158.38244852255568,563.4802307403553,0.650845665961945,1,0.42468782518210196,0.4402965660770031,0,0,19,75,78,80,28,28,28
ash,5815.0,5815.0,10490.0,153.3230383854119,98.87672666768474,0.7642741213361836,86.04584796859736,0.37818678459937566,152.22680447279973,680.350288425444,0.5543374642516683,0,0.300468262226847,0.4529136316337149,0,0,24,67,73,78,29,32,32
spear,7076.0,7623.0,14451.0,138.66108790458168,123.35488099390221,0.45671267757337614,94.91808583481871,0.4601977107180021,172.55723688098394,872.5067093990478,0.4896546951768044,2,0.343522372528616,0.35080645161290325,0,0,25,44,44,48,78,72,70
gift,7340.0,7340.0,13495.0,144.73408631351393,115.92269027521722,0.5987504287802234,96.67253104349805,0.4773673257023933,164.10362579784763,674.8183258569795,0.5439051500555762,0,0.16493236212278875,0.33662851196670135,0,0,25,65,63,61,67,64,66
oak,6202.0,6202.0,10566.0,145.8135088868721,103.27565347545601,0.7059394470386866,88.86299374006865,0.40335587929240374,163.41664541900252,670.776695296637,0.5869770963467726,0,0.2714620187304891,0.429630593132154,0,0,22,68,64,60,50,48,48
sun,8162.0,8162.0,11979.0,162.72230414816826,98.75240691916163,0.7947958433434523,101.94204806716607,0.5308272632674298,160.4306703844374,591.6223663640862,0.6813590449954087,0,0.42937044745057235,0.3971123829344433,0,0,24,53,61,68,90,88,86
need,5415.0,5415.0,9773.0,127.27833885125715,91.03879909141718,0.6988448238652726,83.033680724998,0.35217221644120705,131.91285001848757,525.4802307403553,0.554077560626215,0,0.17859001040582725,0.5061134235171696,0,0,23,61,64,64,61,61,61
need,4858.0,4858.0,9385.0,126.85883556780247,83.18555296406892,0.7549926766483699,78.64729943439521,0.3159469302809573,130.60245020672468,514.1665222413704,0.5176345231752797,0,0.1935483870967742,0.33116545265348596,0,0,21,74,75,78,28,28,28
spear,5167.0,6551.0,14450.0,142.04567533603492,118.82250577382236,0.5479529706244886,81.10997921123261,0.33604318418314255,171.86331778480246,992.430590953299,0.3575778546712803,2,0.2721123829344433,0.25624349635796045,0,0,16,60,65,68,43,41,38
elk-sedge,4478.0,4478.0,9148.0,133.82801295359937,101.77711765442277,0.649329934836773,75.5087192403901,0.2912330905306972,146.47866738880444,574.0904037956216,0.4895059029296021,0,0.3583506763787721,0.23374089490114464,0,0,16,56,53,51,20,20,20
sun,3927.0,3927.0,10054.0,187.51691153223157,84.44753564409257,0.8928540004072893,70.7107607947686,0.25539802289282,174.6568063374571,583.1370849898476,0.39059080962800874,0,0.26196670135275757,0.2609261186264308,0,0,13,53,53,56,16,16,19
elk-sedge,5495.0,5495.0,9670.0,135.2766179602201,102.72108585674793,0.6506928664479864,83.64479241602383,0.3573751300728408,138.92443989449805,506.43354954612926,0.5682523267838676,0,0.3164672216441207,0.047216441207075965,0,0,14,52,48,45,25,25,25
need,3932.0,3933.0,8747.0,135.65704881635176,80.02809033495758,0.8074547822799898,70.75576223812914,0.25572320499479706,134.8517704741024,531.8061325481598,0.44952555161769747,1,0.2964360041623309,0.3734391259105099,0,0,14,37,40,40,60,58,55
spear,7150.0,7682.0,14599.0,144.5621341123083,119.94019136811231,0.5582405178201187,95.41311620975605,0.4650104058272633,172.55723688098394,884.9503602129438,0.4897595725734639,2,0.26651925078043703,0.15283558792924037,0,0,28,92,92,93,45,44,46
bow,8153.0,10584.0,12779.0,154.41079199147262,127.71768161648977,0.5620117561307388,101.8858282992575,0.530241935483871,160.52725625263767,825.320851173921,0.6379998434932311,1,0.4426378772112383,0.3078824141519251,0,0,19,53,54,52,123,112,112
ash,6184.0,6184.0,11717.0,144.39987452530434,114.07004888693861,0.6131590575547861,88.73394696868976,0.40218522372528615,149.26486525636233,724.7350647362942,0.5277801485021764,0,0.27523413111342354,0.4760665972944849,0,0,30,30,30,30,33,33,33
